Reviews,Rates
ben cok memnunum yalniz alicaksaniz 128 alin saklama alani sorunundan biktim,1
Guzel telefon,1
urunu begendim,1
Kalite cihaz herseyiyle on numara bence islemci kamera pil harika tek eksisi ekran cozunurlugu daha yuksek olabilirdi dedim ama 4K tv almiyorsunuz dolayisiyla yeterli sonucta Apple kalitesi,1
Mukemmel telefon annem de var ve bende var,1
Guzel,1
15 yildir iphone kullanicisiyim bu kadar berbat urun ve servis anlayisi gormemistim hic  Anladim ki Apple iphone a o kadar fazladan para verip almaya gerek yok artik  Cunku herhangi bir android telefondan hicbir farki kalmamis ve hatta bazi android telefonlar bile onlardan daha iyi urun ve servis hizmeti vermektedir Tek kelimeyle berbat bitmeye ilk adimlarini  atmislar,0
Urunu anlatmaya gerek yok Zamaninda teslimat Tesekkurler,1
Urun elime soronsuzca ulasti,1
Urunu zaten muhtesem hizli kargolama (Aras kargo) ya tesekkur ederim ,1
Iphoneden gerisi teferruattir,1
Urun istedigimiz sekilde teslim edildi Paketleme guzeldi 3-4 gunde kargo tarafima ulasti,1
On yildir surekli iphone kullanan birisi olarak Goruntu kalitesi haricinde iyi ve hizli bir cihaz oldugunu dusunuyorum,1
Uzun yillar android kullanicisiyim elime Apple’a dair hic bir urun gecmedi android’e fark atar kesinlikle dolar kuru yukselmeden alinmali,1
Batarya eskiden de iPhone kullandigim icin cok cok iyi fakat  android kullanicilarini tatmin etmez tam dolu halde 2000 diger gun  1600 a kadar gidiyor %50 aktifken  Diger yonlerden mukemmel denecek kadar memnun kaldim iPhone kalitesi kamera iyilestirmeler hiz harika Satici Hepsiburadaya   tesekkurler ,1
Hizli kargo ,1
PERFECT,1
Urun orjinal 5 aydir kullaniyorum hic bir sorun yasamadim,1
Hepsiburadadan aldim fiyati dustu iade ettim hic sorun cikarmadilar tekrar siparis verdim her zaman musterinin yaninda ,1
Hepsiburada guvencesi ile piyasada en ucuz iphone11 i satin aldim Tek kusuru kargo ucreti olmasi,1
Kesinlikle gonul rahatligi ile alabilirsinizUrun geldi kontrol ettikGaranti suresi geldigi gunden itibaren basladiDiger uygulamalarda 50 100 gibi kucuk miktarlar oynasa da guvenilir saticidan almak her zaman daha mantikliBurada satici Hepsiburada uygulamanin kendisi diger uygulamalarda bilmem ne iletisim sirf bundan dolayi bir bes yildiz daha :),1
Telefon mukemmel diyecek tek kelime yok Iphonenun kullandigim en iyi telefonu 12-13 alacagim diye kasmayin butcenizi bu telefonla aradaki farki senin benim anlayacagim tarzdan farklar degil Bosuna fazla para vermeyin diyecegim ama bu urunu temmuzda 7k ya almistim suan 10k ekonomimiz sahane dij gujler bahane,1
2 bin liralik telefonlarda ayni isi goruyor  Luzumsuz para harciyoruz insanlarin marka saplantilari yuzunden,0
Fiyatina gore gereksiz ama iPhone iste  Bu fiyata cok daha iyi telefonlar var,0
Su geciriyor dikkat,0
Ekolay avm satici biraz daha ozen gosterebilirdi urune kutulama vs,0
Iki adet aldim ikisinde de dokumatiginde gec algilama oluyor yada bazen hic algilamiyor Ilginc o kadar para verdik bide,0
Hepsiburada'ya 6 saatte teslimat icin tesekkur ederim,1
Saglam urun,1
Hizli temiz tesekkurler,1
hepsiburada hizi ve guveni ile urun problemsiz geldi,1
Cok hizli ve cok guzel bir telefon 1 gunde geldi Hepsijet,1
Beyaz istedim neden siyah urun gonderdiniz sormak istiyorum,0
Telefon cok da umdugum gibi cikmadi yeni tiplerin kullanimi pratik degil Eskiyi getir yeniyi gotur kampanyasi kapsaminda aldim Eski telefonu gonderdim defalarca aradiktan sonra nakit odeme yapmadilar degerinden cok asagiya sayip hediye ceki gonderdiler  Bu konuda onlara guvenmemenizi oneririm,0
aldigimdan beri sorunlu,0
Arka cam icinde fabirkasyon hata ile geldi degisim icin ugrasiyorum magdurum,0
Urunde sikinti yok  Hepsijet berbat Otobus firmasina versen muavin daha kisa surede getirir,0
Urunde hicbir sorun yok gayet guzel ama kargo asiri ozensizdi Hicbir arama mesaj olmadan oylece kapinin onune birakip gidilmis Kargo aciklamasini da kendisi aldi sekilde belirtilmis Kapinin onunden birisi alsa gitse alirdi,0
Orijinal Urun suphesiz alabilirsiniz,1
I phone kalitesi hepsi buradayada ayrica tesekkurler,1
Harika 18 saatte elime sorunsuz ulasti,1
Orjinal urunhizli kargo,1
Tek kelime ile super,1
Eksiksiz 5₺farkla jet kargo ile 1 gunde geldi urun iyi,1
Sorunsuz geldi tesekkurler Hepsiburada,1
Hizli teslimat guvenilir orjinal urun,1
Hizli teslimatla bir gun bile surmedi gelmesi Telefon zaten guzel tesekkurler Hepsiburada ,1
Guzel fiyat hizli kargo tesekkurler hb,1
ustun kaliteli urun,1
64 GB aldim daha onceki tlf num 16gb 5s di 5 yil kullandim iPhone saglam telefon sik sik telefon deyistirmiyorsaniz imkanda varsa tavsiye ederim,1
elime cok cabuk ulasti fiyati da uygun cekinmeden alabilirsiniz,1
Urun orj problem yok paketleme iyidir Tskurler hb,1
Cok guzel paketlenmisti tesekkur edeim,1
Eskiyi getir kampanyasindan aldigim iphone x telefonumun degerinin daha altina fiyat verip bu telefonu almaya mecbur kaldim,0
Bu parayi haketmiyor eski telefonum 7 plus bundan canawardi her anlamda kamerasi berbat siyah dalgalanmalar war iade edicem,0
Urun elime kisa surede ulasti Kurulum yapildiktan sonra sim karti takinca cihaz kendini kapatip aciyor Apple destek ile sorunu cozemedik Iadesi icin ugrasiyorum,0
On kamerada sikinti var guneste degisik gozukuyo o paralara android guzel cihaz alabilirsiniz ipple diye para veriyoruz yazik paraniza arkadaslar,0
Apple destek dahil ne yaptiysam cozulmeyen bildirim sorunu var Bu islerden anlarim her yolu denedim ama yok Aileden baskasina verdim Android ile devam,0
HIZLI KARGO GUVENILIR FIRMA TESEKKUR EDERIM,1
Sunu demek istiyorum internete guven olmaz felan diyip almamazlik etmeyin indirimi yakaladiginizda direk alin,1
Orijinal urun iki gunde elime ulasti Piyasaya gore cok uyguna geldi tesekkurler,1
Saat 4’te siparis verdim ve sonraki sabah elime ulasti Hizli kargo icin tesekkurler,1
Harika,1
Kargo hizli geldi urun kalite tartisilmaz zaten,1
Hizli kargo pakete cok profesyonel tesekkurler,1
Cok hizli kargo Sorunsuz alisveriz,1
2gunde elimize ulasti sorunsuz urun,1
Sabah siparis verdik Ogleden sonra teslim oldu Tesekkurler hepsiburada ve hepsijet,1
Sabah siparis verdik ogleden sonra teslim oldu Tesekkurler hepsiburada ve hepsijet,1
Saglam geldi suan kullaniyorum bur sikinti yok tesekkur ederiz,1
Cok iyi ,1
GAYET BASARILI,1
Ertesi sabah geldi Fiyat avantajli Urun harika Tskrlr hb,1
